id,tree,vegetable,element,animal,color,instrument,fruit
8746,Tulip Tree,celeriac,Neodymium,dog,Wild Watermelon,Telestereoscope,kumquat
8747,Sumac,runner bean,Gallium,yak,Red Orange,Polarimeter,lime
8748,Beech,fennel,Iridium,bison,Tumbleweed,Labidometer,breadfruit
8749,Cherry,habanero,Cobalt,seal,Salmon,Opsiometer,breadfruit
8750,Hawthorn,anise,Neon,gila monster,Gray,Declinometer,mango
8751,Plum,jicama,Unununium,crow,Sunset Orange,Dromometer,rock melon
8752,Peach,eggplant,Cobalt,gopher,Tumbleweed,Colorimeter,blackberry
8753,Tupelo,beet,Radium,wolf,Red,Leptometer,huckleberry
8754,Yellowwood,sage,Sulfur,hyena,Bittersweet,Aethrioscope,cantaloupe
8755,Tupelo,azuki bean,Hafnium,canary,Sky Blue,Proctoscope,grape
8756,Cherry,spinach,Lutetium,lemur,Piggy Pink,Statoscope,rock melon
8757,Yellowwood,taro,Praseodymium,fox,Melon,Udometer,huckleberry
8758,Hickory,radish,Tellurium,hamster,Melon,Durometer,redcurrant
8759,Beech,rosemary,Mercury,gila monster,Tropical Rain Forest,Coulombmeter,cherimoya
8760,Ash,sweet potato,Germanium,buffalo,Pink Sherbert,Harmonograph,salal berry
8761,Chestnut,runner bean,Darmstadtium,impala,Olive Green,Tellurometer,cucumber
8762,Ash,corn salad,Mercury,mustang,Turquoise Blue,Chlorometer,jackfruit
8763,Hawthorn,jicama,Lawrencium,grizzly bear,Violet,Rheometer,peach
8764,Peach,thyme,Manganese,cow,Macaroni and Cheese,Sideroscope,strawberry
8765,Birch,spinach,Hafnium,hippopotamus,Pink Flamingo,Spectrohelioscope,boysenberry
8766,Gum,acorn squash,Strontium,cougar,Tumbleweed,Tremograph,currant
8767,Ash,mamey,Yttrium,salamander,Atomic Tangerine,Pyknometer,dragonfruit
8768,Apple,arugula,Praseodymium,sheep,Carnation Pink,Scintilloscope,pamelo
8769,Ash,amaranth,Bismuth,impala,Caribbean Green,Thalassometer,bilberry
8770,Fir,kohlrabi,Tellurium,raccoon,Denim,Tensiometer,tamarillo
8771,Sassafras,parsnip,Hydrogen,crocodile,Shadow,Alkalimeter,pear
8772,Olive,turnip,Erbium,lemur,Magenta,Hippometer,grapefruit
8773,Holly,mustard green,Thorium,ground hog,Electric Lime,Electroencephalograph,cucumber
8774,Elderberry,borlotti bean,Chlorine,horse,Orchid,Durometer,nectarine
8775,Birch,new zealand spinach,Tin,gorilla,Fuchsia,Plethysmograph,tamarillo
8776,Beech,caraway,Carbon,snake,Granny Smith Apple,Tellurometer,tangerine
8777,Plum,pumpkin,Aluminium,hamster,Green Yellow,Refractometer,orange
8778,Olive,chard,Fluorine,ewe,Fuchsia,Dynamometer,gooseberry
8779,Apple,calabrese,Caesium,chipmunk,Apricot,Cryometer,strawberry
8780,Ash,oregano,Cadmium,koala,Cadet Blue,Psophometer,cherimoya
8781,Olive,tabasco pepper,Mercury,dromedary,Cerulean,Zymosimeter,honeydew
8782,Fir,scallion,Unununium,oryx,Maroon,Scotoscope,breadfruit
8783,Dogwood,cayenne pepper,Phosphorus,deer,Screamin' Green,Electrometer,goji berry
8784,Tupelo,lima bean,Hydrogen,aardvark,Indigo,Thermometrograph,grapefruit
8785,Plum,radicchio,Rhodium,lion,Brick Red,Retinoscope,nectarine
8786,Holly,celeriac,Chromium,capybara,Tumbleweed,Scintillometer,cucumber
8787,Locust,nopale,Sulfur,dog,Indigo,Radiogoniometer,tomato
8788,Fir,zucchini,Helium,dog,Sunset Orange,Hygrograph,eggplant
8789,Magnolia,taro,Arsenic,skunk,Yellow,Oncometer,canary melon
8790,Yellowwood,celeriac,Radium,coyote,Banana Mania,Laparoscope,grape
8791,Holly,chickpea,Bohrium,parakeet,Robin's Egg Blue,Trocheameter,pomegranate
8792,Chestnut,taro,Lawrencium,ground hog,Green,Stadiometer,satsuma
8793,Tupelo,green pepper,Selenium,ferret,Sea Green,Katharometer,nut
8794,Dogwood,endive,Niobium,badger,Pine Green,Tremograph,dragonfruit
8795,Locust,arugula,Ununquadium,dingo,Wild Strawberry,Cyclometer,blackcurrant
8796,Oak,arugula,Roentgenium,fish,Sunset Orange,Voltameter,lime
8797,Sumac,spaghetti squash,Hafnium,finch,Forest Green,Spectroheliograph,mandarine
8798,Linden,turnip,Samarium,alpaca,Fuchsia,Phaometer,currant
8799,Linden,kale,Palladium,ape,Radical Red,Selenoscope,kiwi fruit
8800,Juniper,amaranth,Francium,jaguar,Blue Green,Keratometer,physalis
8801,Ash,spinach,Ytterbium,frog,Tumbleweed,Keratometer,tomato
8802,Peach,black-eyed pea,Cerium,canary,Beaver,Endoscope,bilberry
8803,Yellowwood,radicchio,Calcium,dromedary,Mango Tango,Koniscope,tangerine
8804,Gum,lettuce,Tungsten,polar bear,Pink Flamingo,Ombrometer,pineapple
8805,Beech,fennel,Potassium,elk,Mahogany,Planigraph,chili pepper
8806,Willow,marjoram,Technetium,newt,Cerise,Phacometer,nectarine
8807,Yellowwood,lettuce,Yttrium,opossum,Laser Lemon,Hygroscope,durian
8808,Linden,broad beans,Ytterbium,crow,Laser Lemon,Sphygmograph,dragonfruit
8809,Elderberry,gem squash,Bohrium,hog,Neon Carrot,Pyrometer,fig
8810,Hawthorn,broad beans,Silicon,parrot,Scarlet,Kymograph,tangerine
8811,Pine,brussels sprout,Germanium,bat,Orange,Bolometer,peach
8812,Pine,sweet potato,Nitrogen,ape,Inchworm,Proctoscope,rambutan
8813,Olive,lima bean,Holmium,pig,Fern,Scintillometer,dragonfruit
8814,Ash,eggplant,Palladium,elephant,Sea Green,Diplograph,lime
8815,Apple,oregano,Radium,lamb,Piggy Pink,Harmonograph,raisin
8816,Linden,jicama,Neodymium,otter,Jungle Green,Coronagraph,cherimoya
8817,Juniper,beet,Potassium,aardvark,Spring Green,Sclerometer,mango
8818,Tupelo,arugula,Copper,donkey,Goldenrod,Psychrometer,dragonfruit
8819,Pear,rosemary,Copper,moose,Spring Green,Laryngoscope,peach
8820,Olive,caraway,Thorium,grizzly bear,Unmellow Yellow,Stauroscope,pomegranate
8821,Locust,mustard green,Protactinium,rabbit,Black,Bathythermograph,strawberry
8822,Locust,corn salad,Copper,impala,Sky Blue,Torsiograph,jambul
8823,Walnut,black-eyed pea,Radium,beaver,Electric Lime,Ergometer,boysenberry
8824,Alder,garlic,Cobalt,reptile,White,Barometer,pineapple
8825,Magnolia,banana squash,Radium,giraffe,Blue Green,Rachiometer,apricot
8826,Redwood,gem squash,Neon,gopher,Goldenrod,Spectroheliokinematograph,quince
8827,Oak,onion,Gallium,alligator,Shamrock,Permeameter,mandarine
8828,Cypress,habanero,Rhodium,whale,Scarlet,Calorimeter,grape
8829,Cypress,leek,Actinium,hedgehog,Red Violet,Keraunograph,plum
8830,Tupelo,broccoli,Gadolinium,otter,Midnight Blue,Gasometer,avocado
8831,Birch,kohlrabi,Ytterbium,puma,Cerise,Stereoscope,grape
8832,Fir,lavender,Ununhexium,buffalo,Asparagus,Manometer,plum
8833,Cypress,courgette,Meitnerium,sloth,Wild Blue Yonder,Iconometer,date
8834,Peach,garlic,Sodium,turtle,Neon Carrot,Micrograph,huckleberry
8835,Tulip Tree,runner bean,Boron,turtle,Dandelion,Vaporimeter,kiwi fruit
8836,Sumac,cilantro,Magnesium,wolverine,Atomic Tangerine,Hygrograph,date
8837,Cedar,fiddlehead,Gadolinium,tapir,Pink Flamingo,Fluoroscope,pamelo
8838,Oak,cilantro,Bismuth,mink,Blue Bell,Gradiometer,mandarine
8839,Crabapple,shallot,Holmium,elephant,Pink Sherbert,Polariscope,clementine
8840,Cherry,legume,Neptunium,buffalo,Pine Green,Rachiometer,kumquat
8841,Palm,tat soi,Samarium,lamb,Blue Violet,Spectroscope,raisin
8842,Tulip Tree,nopale,Tellurium,turtle,Red Violet,Sphygmograph,quince
8843,Holly,anise,Lead,mynah bird,Chestnut,Spirometer,pomelo
8844,Sassafras,shallot,Chlorine,prairie dog,Gray,Oscilloscope,lychee
8845,Cedar,oregano,Europium,gopher,Red,Diplograph,chili pepper
8846,Cedar,rhubarb,Holmium,shrew,Olive Green,Loxodograph,pomelo
8847,Olive,bean sprout,Radon,donkey,Almond,Opeidoscope,goji berry
8848,Spruce,legume,Germanium,newt,Burnt Sienna,Magnetograph,lychee
8849,Alder,celeriac,Einsteinium,chameleon,Denim,Baroscope,blood orange
8850,Ash,onion,Osmium,mink,Silver,Anemograph,strawberry
8851,Locust,sweet potato,Samarium,antelope,Lavender,Stethoscope,jujube
8852,Peach,broccoflower,Actinium,deer,Almond,Diffractometer,blackberry
8853,Palm,acorn squash,Samarium,koala,Midnight Blue,Kinetoscope,cloudberry
8854,Fir,nopale,Thallium,gorilla,Orange,Eriometer,lime
8855,Magnolia,basil,Lead,chinchilla,Goldenrod,Gradiometer,blueberry
8856,Juniper,butternut squash,Darmstadtium,gnu,Blue,Chronometer,date
8857,Linden,runner bean,Neodymium,chimpanzee,Radical Red,Sepometer,pineapple
8858,Sassafras,borlotti bean,Titanium,squirrel,Plum,Prisoptometer,cherry
8859,Linden,corn,Silicon,chimpanzee,Magenta,Skiascope,watermelon
8860,Cedar,celery,Phosphorus,guinea pig,Shocking Pink,Mecometer,mulberry
8861,Gum,legume,Cadmium,mandrill,Cotton Candy,Phonautograph,elderberry
8862,Palm,mung bean,Germanium,chimpanzee,Cerise,Tomograph,jambul
8863,Olive,ginger,Californium,yak,Piggy Pink,Gasometer,apple
8864,Palm,mustard green,Lutetium,camel,Blue Bell,Leptometer,blackcurrant
8865,Peach,watercress,Silver,hippopotamus,Sky Blue,Volumenometer,mango
8866,Willow,parsnip,Sodium,jackal,Purple Heart,Pneumatometer,huckleberry
8867,Juniper,chamomile,Manganese,ox,Fuchsia,Pyranometer,eggplant
8868,Gum,courgette,Thorium,yak,Purple Pizzazz,Electrocardiograph,feijoa
8869,Plum,oregano,Phosphorus,tapir,Orange,Idiometer,huckleberry
8870,Olive,onion,Lutetium,chameleon,White,Pyrgeometer,orange
8871,Cypress,habanero,Californium,lemur,Red Orange,Hygrograph,pear
8872,Tulip Tree,borlotti bean,Cadmium,ocelot,Almond,Olfactometer,blood orange
8873,Hickory,hubbard squash,Gold,porpoise,Screamin' Green,Ratemeter,grape
8874,Cedar,navy bean,Seaborgium,fox,Red Orange,Prisoptometer,pomelo
8875,Chestnut,kohlrabi,Holmium,elk,Wild Watermelon,Hydrotimeter,avocado
8876,Linden,pinto bean,Iodine,gorilla,Tan,Telescope,raisin
8877,Ash,beet,Technetium,woodchuck,Banana Mania,Cardiograph,tamarillo
8878,Gum,alfalfa sprout,Selenium,boar,Salmon,Haptometer,pear
8879,Poplar,mustard green,Praseodymium,tapir,Cerulean,Dilatometer,peach
8880,Larch,bean sprout,Bohrium,camel,Scarlet,Electrodynamometer,passionfruit
8881,Olive,runner bean,Polonium,platypus,Mauvelous,Alcoholometer,date
8882,Elderberry,jicama,Helium,mouse,Shocking Pink,Pyroscope,pomelo
8883,Walnut,fiddlehead,Zirconium,ram,Radical Red,Dosimeter,date
8884,Larch,habanero,Ununquadium,reptile,Piggy Pink,Harmonometer,cherimoya
8885,Walnut,black bean,Fermium,armadillo,Shocking Pink,Passimeter,salal berry
8886,Larch,broad beans,Argon,jackal,Royal Purple,Electrograph,mango
8887,Beech,zucchini,Osmium,fish,Cadet Blue,Laryngoscope,date
8888,Willow,skirret,Europium,skunk,Magenta,Phorometer,orange
8889,Birch,cayenne pepper,Carbon,baboon,Periwinkle,Gradiometer,pamelo
8890,Larch,skirret,Technetium,ocelot,Brown,Atmometer,date
8891,Poplar,kale,Meitnerium,porpoise,Tropical Rain Forest,Evaporimeter,papaya
8892,Linden,nopale,Aluminium,camel,Midnight Blue,Ellipsograph,tomato
8893,Fir,pea,Neon,weasel,Sunglow,Spectrometer,jackfruit
8894,Walnut,mung bean,Neptunium,donkey,Olive Green,Haptometer,orange
8895,Redwood,lentils,Ytterbium,ox,Peach,Phototachometer,tangerine
8896,Alder,pumpkin,Bromine,ewe,Fuchsia,Cyanometer,persimmon
8897,Plum,sage,Promethium,mule,Purple Mountain's Majesty,Magnetograph,orange
8898,Poplar,chamomile,Berkelium,tapir,Shamrock,Volumenometer,mandarine
8899,Birch,broccoli,Germanium,boar,Silver,Mileometer,tangerine
8900,Peach,water chestnut,Tellurium,wildcat,Carnation Pink,Odometer,purple mangosteen
8901,Oak,beet,Radon,skunk,Radical Red,Magnetograph,cucumber
8902,Tupelo,chamomile,Ununtrium,koala,Plum,Oenometer,jujube
8903,Tupelo,banana squash,Lithium,prairie dog,Sky Blue,Labidometer,jackfruit
8904,Dogwood,cabbage,Polonium,crocodile,Blush,Milliammeter,avocado
8905,Cedar,tubers,Ununpentium,goat,Wild Strawberry,Anemometer,tomato
8906,Plum,endive,Niobium,sheep,Outrageous Orange,Rotameter,tangerine
8907,Hawthorn,arugula,Ununquadium,canary,Maroon,Floriscope,avocado
8908,Sassafras,lettuce,Unununium,gopher,Green Yellow,Scintillometer,quince
8909,Larch,bok choy,Carbon,toad,Eggplant,Hygrograph,currant
8910,Cypress,green bean,Radon,chameleon,Tumbleweed,Thermograph,rambutan
8911,Yellowwood,rutabaga,Protactinium,ox,Aquamarine,Phthongometer,huckleberry
8912,Hickory,celeriac,Radium,bull,Tropical Rain Forest,Colposcope,orange
8913,Walnut,onion,Iron,crow,Shadow,Potentiometer,date
8914,Peach,onion,Molybdenum,jaguar,Maroon,Aerometer,salal berry
8915,Maple,acorn squash,Meitnerium,ferret,Cerulean,Helicograph,star fruit
8916,Larch,cauliflower,Berkelium,hyena,Magenta,Alcoholometer,chili pepper
8917,Redwood,habanero,Unununium,prairie dog,Salmon,Chronoscope,tamarillo
8918,Fir,broad beans,Samarium,otter,Electric Lime,Craniometer,blueberry
8919,Ash,water chestnut,Silver,koala,Spring Green,Potentiometer,cucumber
8920,Palm,scallion,Lithium,rat,Chestnut,Iconometer,kumquat
8921,Crabapple,carrot,Ruthenium,warthog,Denim,Anemometer,papaya
8922,Sumac,daikon,Germanium,aardvark,Apricot,Salinometer,huckleberry
8923,Palm,white radish,Vanadium,otter,Purple Pizzazz,Harmonometer,mandarine
8924,Willow,calabrese,Rhodium,camel,Mango Tango,Dynamograph,jujube
8925,Crabapple,dill,Boron,sheep,Timberwolf,Rhinoscope,tomato
8926,Larch,herbs and spice,Strontium,crocodile,Red Violet,Spectroheliograph,olive
8927,Juniper,kidney bean,Antimony,chimpanzee,Shadow,Sigmoidoscope,kumquat
8928,Juniper,fennel,Neodymium,bull,Wisteria,Koniscope,pamelo
8929,Apple,radicchio,Vanadium,bull,Electric Lime,Coulombmeter,jambul
8930,Locust,courgette,Radium,chinchilla,Orchid,Hypsometer,kiwi fruit
8931,Hickory,lentils,Magnesium,antelope,Cotton Candy,Tacheometer,papaya
8932,Elderberry,lettuce,Seaborgium,mongoose,Apricot,Polarimeter,pomelo
8933,Palm,chard,Iridium,giraffe,Chestnut,Diffractometer,cucumber
8934,Cypress,frisee,Astatine,mustang,Granny Smith Apple,Drosometer,cranberry
8935,Oak,horseradish,Aluminium,hyena,Royal Purple,Refractometer,huckleberry
8936,Yellowwood,jalapeno,Dysprosium,lemur,Caribbean Green,Passimeter,cucumber
8937,Alder,spaghetti squash,Californium,reptile,Melon,Platometer,raspberry
8938,Fir,soy bean,Iodine,boar,Mountain Meadow,Electrometer,durian
8939,Oak,garlic,Argon,armadillo,Caribbean Green,Urethroscope,avocado
8940,Linden,herbs and spice,Caesium,ram,Silver,Cyanometer,pamelo
8941,Redwood,pea,Iron,zebra,Peach,Retinoscope,jackfruit
8942,Elderberry,oregano,Yttrium,iguana,Yellow Orange,Opeidoscope,breadfruit
8943,Olive,radicchio,Mendelevium,monkey,Carnation Pink,Densitometer,redcurrant
8944,Poplar,daikon,Nobelium,baboon,Outrageous Orange,Episcope,breadfruit
8945,Linden,lima bean,Sodium,seal,Brown,Radiometeorograph,clementine
8946,Juniper,butternut squash,Krypton,grizzly bear,Olive Green,Pulsimeter,apple
8947,Olive,broccoli,Nickel,chinchilla,Shocking Pink,Refractometer,mango
8948,Magnolia,sage,Rubidium,seal,Macaroni and Cheese,Pharmacometer,cantaloupe
8949,Linden,mangetout,Ununquadium,orangutan,Lavender,Mileometer,eggplant
8950,Cypress,tabasco pepper,Ununtrium,camel,Plum,Cymograph,papaya
8951,Juniper,caraway,Roentgenium,parrot,Manatee,Pedometer,durian
8952,Plum,cauliflower,Dysprosium,rhinoceros,Dandelion,Odograph,pineapple
8953,Gum,taro,Rutherfordium,hog,Pacific Blue,Plegometer,salal berry
8954,Plum,celeriac,Caesium,ground hog,Vivid Tangerine,Cystoscope,watermelon
8955,Cherry,acorn squash,Neptunium,zebra,Sky Blue,Typhlograph,papaya
8956,Oak,alfalfa sprout,Californium,ibex,Silver,Meldometer,salal berry
8957,Poplar,bean sprout,Gold,cat,Macaroni and Cheese,Cryoscope,pomelo
8958,Cedar,navy bean,Tantalum,hamster,Denim,Arthroscope,grapefruit
8959,Cedar,butternut squash,Cerium,woodchuck,Mauvelous,Phorometer,currant
8960,Gum,bean sprout,Francium,monkey,Banana Mania,Heliometer,mango
8961,Magnolia,chamomile,Dysprosium,grizzly bear,Chestnut,Tachograph,pomelo
8962,Birch,green bean,Polonium,hog,Almond,Fluoroscope,currant
8963,Sumac,ginger,Ytterbium,llama,Tan,Ceraunograph,purple mangosteen
8964,Chestnut,pinto bean,Mercury,hippopotamus,Denim,Lactometer,physalis
8965,Tupelo,cauliflower,Palladium,iguana,Aquamarine,Stagmometer,rock melon
8966,Plum,chives,Fermium,goat,Spring Green,Keratometer,strawberry
8967,Locust,borlotti bean,Nitrogen,polar bear,Copper,Sphygmometer,jambul
8968,Magnolia,chamomile,Indium,armadillo,Lavender,Cryometer,star fruit
8969,Tupelo,sweet potato,Erbium,raccoon,Hot Magenta,Alcoholometer,strawberry
8970,Birch,mung bean,Mercury,mink,Peach,Ultramicroscope,olive
8971,Plum,topinambur,Einsteinium,warthog,Vivid Tangerine,Episcope,currant
8972,Tulip Tree,carrot,Sulfur,monkey,Almond,Interferometer,huckleberry
8973,Elm,onion,Uranium,seal,Jungle Green,Peirameter,boysenberry
8974,Cedar,courgette,Europium,gopher,Blush,Opsiometer,redcurrant
8975,Willow,onion,Praseodymium,bull,Plum,Epidiascope,apricot
8976,Tupelo,chamomile,Mendelevium,prairie dog,Jazzberry Jam,Zymosimeter,blood orange
8977,Willow,broccoflower,Nitrogen,wolf,Pacific Blue,Durometer,jackfruit
8978,Yellowwood,shallot,Antimony,turtle,Pine Green,Heliometer,lemon
8979,Spruce,hubbard squash,Californium,bison,Antique Brass,Speedometer,gooseberry
8980,Larch,calabrese,Meitnerium,alpaca,Piggy Pink,Laryngoscope,persimmon
8981,Crabapple,black-eyed pea,Indium,rhinoceros,Screamin' Green,Spectroheliograph,coconut
8982,Beech,beet,Scandium,sloth,Razzle Dazzle Rose,Siccimeter,guava
8983,Plum,radish,Dysprosium,weasel,Atomic Tangerine,Permeameter,banana
8984,Juniper,alfalfa sprout,Cobalt,weasel,Peach,Stereometer,nectarine
8985,Cypress,delicata,Ytterbium,wolverine,Apricot,Keraunograph,cucumber
8986,Magnolia,horseradish,Copper,dingo,Cerise,Ondograph,satsuma
8987,Beech,cayenne pepper,Fermium,capybara,Beaver,Cystoscope,damson
8988,Olive,daikon,Europium,marmoset,Copper,Volumenometer,plum
8989,Tupelo,mung bean,Ytterbium,wolf,Hot Magenta,Galactometer,currant
8990,Redwood,pinto bean,Mercury,bat,Dandelion,Pneumatometer,pineapple
8991,Spruce,rhubarb,Protactinium,hippopotamus,Royal Purple,Bronchoscope,gooseberry
8992,Birch,asparagus,Rutherfordium,elk,Purple Pizzazz,Synchroscope,elderberry
8993,Locust,white radish,Tungsten,squirrel,Chestnut,Electrograph,plum
8994,Olive,mung bean,Iron,chameleon,Yellow Orange,Scintilloscope,banana
8995,Chestnut,skirret,Terbium,dromedary,Brick Red,Thalassometer,tamarillo
8996,Poplar,tubers,Cobalt,fish,Neon Carrot,Refractometer,lychee
8997,Linden,kohlrabi,Nitrogen,warthog,Granny Smith Apple,Selenoscope,huckleberry
8998,Willow,horseradish,Ununquadium,lion,Periwinkle,Geothermometer,apricot
8999,Alder,ginger,Protactinium,rat,Blue Green,Tellurometer,cloudberry
9000,Cypress,topinambur,Erbium,aardvark,Granny Smith Apple,Viscometer,rambutan
9001,Yellowwood,tat soi,Oxygen,jackal,Tickle Me Pink,Heliometer,coconut
9002,Holly,chamomile,Plutonium,parrot,Orchid,Sigmoidoscope,olive
9003,Tulip Tree,pumpkin,Holmium,hedgehog,Beaver,Extensometer,blood orange
9004,Poplar,kohlrabi,Ununhexium,mandrill,Cerise,Pyknometer,blackberry
9005,Redwood,mangetout,Gallium,jaguar,Purple Pizzazz,Areometer,quince
9006,Tupelo,cucumber,Radium,gazelle,Chestnut,Turbidimeter,redcurrant
9007,Alder,spaghetti squash,Hassium,impala,Antique Brass,Electroscope,huckleberry
9008,Dogwood,chard,Zinc,porcupine,Desert Sand,Optometer,apple
9009,Willow,sage,Tantalum,reindeer,Brick Red,Colonoscope,tamarillo
9010,Holly,cucumber,Francium,armadillo,Maroon,Dioptometer,cranberry
9011,Chestnut,banana squash,Antimony,tiger,Wild Strawberry,Hydrometer,damson
9012,Hickory,frisee,Caesium,skunk,Blush,Gradiometer,lemon
9013,Locust,butternut squash,Potassium,hyena,Cotton Candy,Spectrofluorimeter,clementine
9014,Peach,soy bean,Europium,camel,Yellow Orange,Refractometer,persimmon
9015,Cedar,broccoflower,Iodine,lizard,Burnt Sienna,Thermoscope,date
9016,Elm,water chestnut,Cerium,mouse,Pacific Blue,Dichroscope,mulberry
9017,Cypress,corn,Nitrogen,dromedary,Blush,Cardiograph,peach
9018,Olive,legume,Oxygen,mole,Orchid,Microscope,raspberry
9019,Cypress,daikon,Tantalum,mink,Burnt Sienna,Loxodograph,blood orange
9020,Tulip Tree,beet,Bohrium,fox,Laser Lemon,Viameter,redcurrant
9021,Tulip Tree,celeriac,Antimony,gopher,Tan,Cathetometer,blackberry
9022,Gum,kale,Chlorine,ibex,Desert Sand,Trechometer,raisin
9023,Linden,radicchio,Molybdenum,shrew,Green Yellow,Phototelegraph,blood orange
9024,Sassafras,dill,Californium,mouse,Sky Blue,Mecometer,tomato
9025,Pine,chamomile,Chlorine,chimpanzee,Inchworm,Chronometer,nut
9026,Cherry,snap pea,Radon,panda,Pink Sherbert,Oncometer,lemon
9027,Peach,artichoke,Tantalum,frog,Purple Pizzazz,Evaporimeter,pomelo
9028,Willow,mung bean,Boron,rabbit,Manatee,Tachometer,mulberry
9029,Birch,jalapeno,Potassium,aardvark,Inchworm,Acetimeter,elderberry
9030,Pear,lima bean,Argon,warthog,White,Loxodograph,mulberry
9031,Hickory,bok choy,Berkelium,kangaroo,Aquamarine,Topophone,orange
9032,Redwood,broad beans,Boron,aardvark,Plum,Odontograph,pomegranate
9033,Hickory,paprika,Ununhexium,walrus,Spring Green,Electroretinograph,goji berry
9034,Plum,black bean,Vanadium,leopard,Asparagus,Shuftiscope,quince
9035,Gum,habanero,Platinum,bear,Unmellow Yellow,Cymograph,durian
9036,Apple,navy bean,Cobalt,elk,Electric Lime,Sonograph,cranberry
9037,Linden,chickpea,Thulium,elk,Outer Space,Cymometer,redcurrant
9038,Cypress,zucchini,Zinc,ocelot,Atomic Tangerine,Methanometer,huckleberry
9039,Pine,chard,Rutherfordium,aardvark,Sky Blue,Scoliometer,blood orange
9040,Spruce,bok choy,Ununpentium,ape,Brick Red,Speedometer,cucumber
9041,Chestnut,soy bean,Lutetium,cow,Cotton Candy,Ohmmeter,date
9042,Pine,tubers,Xenon,ape,Burnt Orange,Rheometer,honeydew
9043,Elm,parsnip,Chlorine,impala,Purple Pizzazz,Tellurometer,pamelo
9044,Hickory,sage,Molybdenum,tiger,Burnt Sienna,Piezometer,grape
9045,Alder,herbs and spice,Nobelium,mink,Unmellow Yellow,Tocodynamometer,blood orange
9046,Tulip Tree,new zealand spinach,Polonium,polar bear,Silver,Electroretinograph,purple mangosteen
9047,Redwood,courgette,Hafnium,porcupine,Green,Cathetometer,jambul
9048,Hickory,eggplant,Thorium,lamb,Banana Mania,Pulsimeter,damson
9049,Palm,cauliflower,Scandium,gopher,Blue,Hemacytometer,lychee
9050,Apple,corn,Darmstadtium,gorilla,Salmon,Microbarograph,huckleberry
9051,Fir,fiddlehead,Ununpentium,aardvark,Piggy Pink,Methanometer,jackfruit
9052,Hawthorn,corn,Lead,porpoise,Orange,Pycnometer,date
9053,Yellowwood,habanero,Manganese,aardvark,Outrageous Orange,Phototachometer,dragonfruit
9054,Gum,fennel,Manganese,reptile,Pine Green,Siccimeter,ugli fruit
9055,Fir,marjoram,Bismuth,mole,Piggy Pink,Odometer,breadfruit
9056,Redwood,habanero,Boron,ocelot,Outer Space,Plethysmograph,physalis
9057,Pine,taro,Rhodium,ewe,Wild Strawberry,Urinometer,blackberry
9058,Ash,spinach,Silicon,wolf,Mahogany,Thoracoscope,jackfruit
9059,Alder,chard,Iridium,tiger,Periwinkle,Idiometer,ugli fruit
9060,Sassafras,banana squash,Terbium,gopher,Melon,Typhlograph,banana
9061,Chestnut,pea,Rhenium,tiger,Fuzzy Wuzzy,Pyknometer,goji berry
9062,Larch,cucumber,Berkelium,turtle,Sunglow,Tonometer,damson
9063,Locust,mamey,Platinum,giraffe,Copper,Hyetometer,feijoa
9064,Sumac,bok choy,Xenon,newt,Bittersweet,Turbidimeter,strawberry
9065,Elm,broccoflower,Yttrium,lion,Denim,Udometer,elderberry
9066,Crabapple,cilantro,Hassium,iguana,Lavender,Skiascope,pear
9067,Fir,marjoram,Gadolinium,baboon,Jazzberry Jam,Saccharimeter,elderberry
9068,Ash,rutabaga,Silicon,crocodile,Gray,Harmonometer,pear
9069,Sassafras,bok choy,Zirconium,marmoset,Salmon,Spectroheliograph,cherimoya
9070,Spruce,potato,Ununhexium,elk,Indigo,Electrograph,clementine
9071,Chestnut,bok choy,Silicon,leopard,Bittersweet,Passimeter,cherimoya
9072,Chestnut,paprika,Silver,sloth,Sepia,Velocimeter,bilberry
9073,Gum,pea,Sulfur,chinchilla,Neon Carrot,Cryometer,avocado
9074,Birch,lettuce,Tellurium,capybara,Tumbleweed,Sphygmomanometer,physalis
9075,Pear,onion,Bromine,antelope,Antique Brass,Tremograph,boysenberry
9076,Beech,celery,Darmstadtium,otter,Jungle Green,Tiltmeter,gooseberry
9077,Tupelo,jerusalem artichoke,Francium,lizard,Sunset Orange,Haptometer,tamarillo
9078,Elderberry,marjoram,Europium,buffalo,White,Viscometer,apricot
9079,Crabapple,kale,Carbon,puma,Pine Green,Flowmeter,avocado
9080,Holly,fiddlehead,Chromium,turtle,Almond,Piezometer,grape
9081,Tulip Tree,rhubarb,Ununpentium,antelope,Blue Green,Chlorometer,kiwi fruit
9082,Cypress,chamomile,Bismuth,grizzly bear,Maroon,Psychrometer,honeydew
9083,Elderberry,potato,Iron,ape,Black,Synchroscope,durian
9084,Peach,borlotti bean,Darmstadtium,alligator,Atomic Tangerine,Stylometer,strawberry
9085,Alder,taro,Thulium,chameleon,Sky Blue,Inclinometer,cucumber
9086,Spruce,lavender,Hassium,leopard,Violet,Variometer,cantaloupe
9087,Birch,lettuce,Ytterbium,hamster,Electric Lime,Pluviometer,mulberry
9088,Cherry,lemon grass,Scandium,capybara,Vivid Tangerine,Colposcope,raspberry
9089,Yellowwood,sweet potato,Caesium,polar bear,Apricot,Drosometer,kumquat
9090,Pear,chayote,Scandium,wombat,Pacific Blue,Nephelometer,watermelon
9091,Yellowwood,banana squash,Palladium,canary,Burnt Sienna,Spirograph,cucumber
